,City,Lat,Lng,Max Temp,Humidity,Cloudiness,wind Speed,Country,Date
0,Esperance,-33.8667,121.9,51.64,58,0,13.42,AU,1632184808
1,San Patricio,28.017,-97.5169,90.01,67,0,12.1,US,1632184999
2,Barrow,71.2906,-156.7887,33.82,64,90,14.97,US,1632184999
3,Nome,64.5011,-165.4064,37.47,65,90,16.11,US,1632185000
4,Miandrivazo,-19.5167,45.4667,73.29,75,95,3.96,MG,1632185000
5,Busselton,-33.65,115.3333,59.2,55,0,11.59,AU,1632185001
6,Homa Bay,-0.5273,34.4571,67.68,77,40,4.38,KE,1632185001
7,Port Hardy,50.6996,-127.4199,57.38,82,75,10.36,CA,1632185001
8,Serrana,-21.2114,-47.5956,87.75,29,26,1.52,BR,1632185002
9,Punta Arenas,-53.15,-70.9167,51.91,66,75,17.27,CL,1632184926
10,Vao,-22.6667,167.4833,70.45,65,85,16.82,NC,1632185003
11,Tuktoyaktuk,69.4541,-133.0374,39.2,93,90,13.8,CA,1632185003
12,Port Alfred,-33.5906,26.891,59.27,57,97,24.83,ZA,1632185003
13,Cape Town,-33.9258,18.4232,52.21,76,20,9.22,ZA,1632184724
14,Camargo,27.6667,-105.1667,85.71,23,75,3.83,MX,1632185004
15,Mar del Plata,-38.0023,-57.5575,47.93,78,0,14.18,AR,1632184709
16,Coyhaique,-45.5752,-72.0662,44.55,70,0,4.61,CL,1632185005
17,Cidreira,-30.1811,-50.2056,67.32,97,97,2.77,BR,1632184822
18,Rikitea,-23.1203,-134.9692,73.99,76,15,11.61,PF,1632184705
19,Mataura,-46.1927,168.8643,52.59,77,100,4.59,NZ,1632185006
20,Maragogi,-9.0122,-35.2225,73.99,75,18,6.44,BR,1632184942
21,Upernavik,72.7868,-56.1549,25.56,81,87,3.0,GL,1632184960
22,Torbay,47.6666,-52.7314,45.37,70,75,12.66,CA,1632185006
23,Hong Kong,22.2855,114.1577,86.05,75,93,1.88,HK,1632184879
24,Bluff,-46.6,168.3333,47.43,90,100,18.48,NZ,1632185007
25,Chokurdakh,70.6333,147.9167,32.67,56,93,9.71,RU,1632185008
26,Nikolskoye,59.7035,30.7861,42.69,81,98,6.76,RU,1632185008
27,Itarema,-2.9248,-39.9167,78.53,81,36,14.92,BR,1632185009
28,Samarai,-10.6167,150.6667,77.49,89,100,11.81,PG,1632185009
29,Vaini,-21.2,-175.2,69.96,94,75,9.22,TO,1632184941
30,Port Lincoln,-34.7333,135.8667,54.37,60,100,12.71,AU,1632185010
31,Pratāpgarh,24.0333,74.7833,72.45,97,95,9.82,IN,1632185010
32,Ushuaia,-54.8,-68.3,42.46,87,75,8.05,AR,1632184742
33,Kaberamaido,1.7389,33.1594,66.06,92,24,1.86,UG,1632185011
34,Morristown,36.214,-83.2949,72.7,78,90,6.91,US,1632184722
35,Sokol,59.4617,40.1206,34.29,83,100,9.22,RU,1632185011
36,Guerrero Negro,27.9769,-114.0611,74.03,62,0,13.53,MX,1632184824
37,Port-Cartier,50.0334,-66.8654,50.22,90,8,1.63,CA,1632184904
38,Bengkulu,-3.8004,102.2655,78.15,83,86,3.18,ID,1632184821
39,Zhuhai,22.2769,113.5678,85.78,79,40,5.75,CN,1632185012
40,Saint-Philippe,-21.3585,55.7679,65.79,72,100,12.12,RE,1632185013
41,Albany,42.6001,-73.9662,65.05,84,100,4.63,US,1632185013
